search type,heuristic,win ratio,avg. search depth player,opponent,opponent heuristic,avg. search depth opponent,fair,parallel,time,number of rounds
Alpha-Beta Search,movesDelta,55.00%,5.00,Alpha-Beta Search,my_moves,5.00,FALSE,1,150,20
Alpha-Beta Search,movesDelta,0.00%,4.00,Alpha-Beta Search,liberty_difference,4.00,FALSE,1,150,20
Alpha-Beta Search,liberty_difference,66.70%,4.00,Alpha-Beta Search,liberty_difference,4.00,FALSE,1,150,6
Alpha-Beta Search,liberty_difference,33.30%,4.00,Alpha-Beta Search,liberty_difference,4.00,FALSE,1,150,6
Alpha-Beta Search,liberty_difference,45.00%,4.00,Alpha-Beta Search,liberty_difference,4.00,FALSE,1,150,20
Alpha-Beta Search,weighted_self,50.00%,4.00,Alpha-Beta Search,liberty_difference,4.00,FALSE,1,150,6
Alpha-Beta Search,weighted_self,95.00%,5.00,Alpha-Beta Search,liberty_difference,5.00,FALSE,1,150,20
Alpha-Beta Search,weighted_self,70.00%,5.00,Alpha-Beta Search,liberty_difference,5.00,TRUE,4,150,40
Alpha-Beta Search,weighted_self,40.80%,5.00,Alpha-Beta Search,liberty_difference,5.00,TRUE,10,150,120
Alpha-Beta Search,weighted_opp,42.50%,5.00,Alpha-Beta Search,liberty_difference,5.00,TRUE,10,150,120
Alpha-Beta Search,liberty_difference,47.50%,5.00,Alpha-Beta Search,liberty_difference,5.00,TRUE,10,150,120
Alpha-Beta Search,weighted_linear_function,44.20%,5.00,Alpha-Beta Search,liberty_difference,5.00,TRUE,10,150,120
Alpha-Beta Search,weighted_binary,56.70%,5.00,Alpha-Beta Search,liberty_difference,5.00,TRUE,10,150,120
Alpha-Beta Search,weighted_relu,50.80%,5.00,Alpha-Beta Search,liberty_difference,5.00,TRUE,10,150,120
Monte Carlo Tree Search,-,80.00%,-,Random Agent,-,-,FALSE,1,1000,10
Monte Carlo Tree Search,-,60.00%,-,Random Agent,-,-,FALSE,8,250,10
Monte Carlo Tree Search,-,10.00%,-,Random Agent,-,-,FALSE,8,500,10
Monte Carlo Tree Search,-,60.00%,-,Random Agent,-,-,FALSE,8,500,10
Monte Carlo Tree Search,-,50.00%,-,Random Agent,-,-,FALSE,8,500,10
Monte Carlo Tree Search,-,0.00%,-,Random Agent,-,-,FALSE,8,500,10
Alpha-Beta Search,liberty_difference,44.20%,25.10,Alpha-Beta Search,liberty_difference,23.99,TRUE,10,150,120
Alpha-Beta Search,weighted_relu,39.20%,26.77,Alpha-Beta Search,liberty_difference,27.00,TRUE,10,150,120
Alpha-Beta Search,weighted_binary,60.00%,26.37,Alpha-Beta Search,liberty_difference,26.59,TRUE,10,150,120
Alpha-Beta Search,weighted_linear_function,51.70%,27.54,Alpha-Beta Search,liberty_difference,27.89,TRUE,10,150,120
Alpha-Beta Search,weighted_opp,50.80%,25.23,Alpha-Beta Search,liberty_difference,26.13,TRUE,10,150,120
Alpha-Beta Search,weighted_self,45.80%,25.57,Alpha-Beta Search,liberty_difference,25.96,TRUE,10,150,120
